postUrl,description,commentCount,likeCount,pubDate,Post_Number,BreakDown,Tagged
https://www.instagram.com/p/CaoXUnql84F/,"Pretty in pink. Prefect in pink. And in case you didn’t know, @chanelofficial’s chic/classic/casual tote now comes in a new size that measures some 39 cm by 22 cm. Love? Love! 📸 Image courtesy of #Chanel #CHANELSpringSummer #tagafriend",84,,2022-03-03T05:55:08.000Z,12,"['Pretty', 'in', 'pink.', 'Prefect', 'in', 'pink.', 'And', 'in', 'case', 'you', 'didn’t', 'know,', '@chanelofficial’s', 'chic/classic/casual', 'tote', 'now', 'comes', 'in', 'a', 'new', 'size', 'that', 'measures', 'some', '39', 'cm', 'by', '22', 'cm.', 'Love?', 'Love!', '📸', 'Image', 'courtesy', 'of', '#Chanel', '#CHANELSpringSummer', '#tagafriend']",['chanelofficials']
https://www.instagram.com/p/Cajtn2FFDLy/,The perfect pair. Meet the Vendome Mini and the Alto from @goyardofficial. Which do you love more? 📸 @ivanhoharlim for @bagaholicboy x @takashimayasc #BBxTSC #Goyard,46,,2022-03-01T10:33:48.000Z,13,"['The', 'perfect', 'pair.', 'Meet', 'the', 'Vendome', 'Mini', 'and', 'the', 'Alto', 'from', '@goyardofficial.', 'Which', 'do', 'you', 'love', 'more?', '📸', '@ivanhoharlim', 'for', '@bagaholicboy', 'x', '@takashimayasc', '#BBxTSC', '#Goyard']","['goyardofficial', 'ivanhoharlim', 'bagaholicboy', 'takashimayasc']"
https://www.instagram.com/p/CacTqnvlsdL/,Candid. Cool. Crush. #CocoCrush 📽 @stu__c for @bagaholicboy featuring @caenkel / @mannequinstudio #CHANELFineJewelry,68,346.0,2022-02-26T13:34:58.000Z,14,"['Candid.', 'Cool.', 'Crush.', '#CocoCrush', '📽', '@stu__c', 'for', '@bagaholicboy', 'featuring', '@caenkel', '/', '@mannequinstudio', '#CHANELFineJewelry']","['stuc', 'bagaholicboy', 'caenkel', 'mannequinstudio']"
https://www.instagram.com/p/CaZuz_nvvwc/,Because we all want options. Which colour/hardware combo would you pick? 📸 Images courtesy of @moynat #MoynatFlori #tagafriend,64,,2022-02-25T13:31:47.000Z,15,"['Because', 'we', 'all', 'want', 'options.', 'Which', 'colour/hardware', 'combo', 'would', 'you', 'pick?', '📸', 'Images', 'courtesy', 'of', '@moynat', '#MoynatFlori', '#tagafriend']",['moynat']
https://www.instagram.com/p/CaV3_IbFXCl/,"As whimsical as it gets, check out the new #PradaTriangle bag that’s inspired by their iconic triangle logo. Also, don’t forget to catch the ride and watch the #PradaFW22 show at 9 PM on all their socials. @prada 📽 @bifrost_____ for @bagaholicboy",50,944.0,2022-02-24T01:40:34.000Z,16,"['As', 'whimsical', 'as', 'it', 'gets,', 'check', 'out', 'the', 'new', '#PradaTriangle', 'bag', 'that’s', 'inspired', 'by', 'their', 'iconic', 'triangle', 'logo.', 'Also,', 'don’t', 'forget', 'to', 'catch', 'the', 'ride', 'and', 'watch', 'the', '#PradaFW22', 'show', 'at', '9', 'PM', 'on', 'all', 'their', 'socials.', '@prada', '📽', '@bifrost_____', 'for', '@bagaholicboy']","['prada', 'bifrost', 'bagaholicboy']"
https://www.instagram.com/p/CaSAZUIPIQO/,Not all treasure is silver and gold. @gucci 📸 @reubenfoong / @fakedcandid for @bagaholicboy 📍@bymyoldschool #GucciBamboo1947,32,,2022-02-22T13:31:30.000Z,17,"['Not', 'all', 'treasure', 'is', 'silver', 'and', 'gold.', '@gucci', '📸', '@reubenfoong', '/', '@fakedcandid', 'for', '@bagaholicboy', '📍@bymyoldschool', '#GucciBamboo1947']","['gucci', 'reubenfoong', 'fakedcandid', 'bagaholicboy', 'bymyoldschool']"
https://www.instagram.com/p/CaQ8n9nFHD9/,"A Kelly like no other. Don’t forget to check out the
whimsical Kellymorphose exhibition that’s happening now at H Liat Towers. By appointment only. 📸 Image courtesy of @hermes #tagafriend",54,,2022-02-22T03:39:19.000Z,18,"['A', 'Kelly', 'like', 'no', 'other.', 'Don’t', 'forget', 'to', 'check', 'out', 'the', 'whimsical', 'Kellymorphose', 'exhibition', 'that’s', 'happening', 'now', 'at', 'H', 'Liat', 'Towers.', 'By', 'appointment', 'only.', '📸', 'Image', 'courtesy', 'of', '@hermes', '#tagafriend']",['hermes']
https://www.instagram.com/p/CaFMGzNPy12/,"When it comes to being definitely different, the #McQueenCurve is definitely it. Featuring a tub-shaped body anchored with a harness and a magnetic flap too, this is perfect for those tired of all the sameness of late. And the mini one is about the half the size of the soda can, which is super cute. @alexandermcqueen #AlexanderMcqueen",42,,2022-02-17T14:03:42.000Z,19,"['When', 'it', 'comes', 'to', 'being', 'definitely', 'different,', 'the', '#McQueenCurve', 'is', 'definitely', 'it.', 'Featuring', 'a', 'tub-shaped', 'body', 'anchored', 'with', 'a', 'harness', 'and', 'a', 'magnetic', 'flap', 'too,', 'this', 'is', 'perfect', 'for', 'those', 'tired', 'of', 'all', 'the', 'sameness', 'of', 'late.', 'And', 'the', 'mini', 'one', 'is', 'about', 'the', 'half', 'the', 'size', 'of', 'the', 'soda', 'can,', 'which', 'is', 'super', 'cute.', '@alexandermcqueen', '#AlexanderMcqueen']",['alexandermcqueen']
https://www.instagram.com/p/CaEIfPvlpxb/,The one day a year my work desk disappears and becomes a floral pop-up. And thank you to all those who remembered... #thankyou,138,,2022-02-17T04:12:51.000Z,20,"['The', 'one', 'day', 'a', 'year', 'my', 'work', 'desk', 'disappears', 'and', 'becomes', 'a', 'floral', 'pop-up.', 'And', 'thank', 'you', 'to', 'all', 'those', 'who', 'remembered...', '#thankyou']",[]
https://www.instagram.com/p/CZ__7txvz3p/,Any brighter and you’ll need sunglasses to enjoy @mariagraziachiuri’s #DiorSS22 collection for the French house. What do you love? 📸 Images courtesy of @dior #Dior,50,,2022-02-15T13:41:08.000Z,21,"['Any', 'brighter', 'and', 'you’ll', 'need', 'sunglasses', 'to', 'enjoy', '@mariagraziachiuri’s', '#DiorSS22', 'collection', 'for', 'the', 'French', 'house.', 'What', 'do', 'you', 'love?', '📸', 'Images', 'courtesy', 'of', '@dior', '#Dior']","['mariagraziachiuris', 'dior']"
https://www.instagram.com/p/CZ9FxN0hnTt/,Love doesn’t need to be perfect. It just needs to include one of these…. @chanelofficial 📸 @ivanhoharlim for @bagaholicboy #CHANELSpringSummer,82,,2022-02-14T10:34:24.000Z,22,"['Love', 'doesn’t', 'need', 'to', 'be', 'perfect.', 'It', 'just', 'needs', 'to', 'include', 'one', 'of', 'these….', '@chanelofficial', '📸', '@ivanhoharlim', 'for', '@bagaholicboy', '#CHANELSpringSummer']","['chanelofficial', 'ivanhoharlim', 'bagaholicboy']"
https://www.instagram.com/p/CZ4RgplPMnS/,"Same but different, this wicker #LadyDior has been trending of late, and it seems like more colours will come. What say you? Yes yes yes? 📸 Image courtesy of @dior #Dior",36,,2022-02-12T13:40:48.000Z,23,"['Same', 'but', 'different,', 'this', 'wicker', '#LadyDior', 'has', 'been', 'trending', 'of', 'late,', 'and', 'it', 'seems', 'like', 'more', 'colours', 'will', 'come.', 'What', 'say', 'you?', 'Yes', 'yes', 'yes?', '📸', 'Image', 'courtesy', 'of', '@dior', '#Dior']",['dior']
https://www.instagram.com/p/CZwNGTnFcDX/,Embrace your rainbow and live colourfully... #LouisVuitton 📸 Images courtesy of @louisvuitton #LVMenSS22,60,,2022-02-09T10:28:20.000Z,24,"['Embrace', 'your', 'rainbow', 'and', 'live', 'colourfully...', '#LouisVuitton', '📸', 'Images', 'courtesy', 'of', '@louisvuitton', '#LVMenSS22']",['louisvuitton']
https://www.instagram.com/p/CZt9V2qF0jY/,B-cause life is all about balance and this could be your fave all-rounder. @balenciaga #BalenciagaPhantom 📽 @bifrost_____ for @bagaholicboy,24,325.0,2022-02-08T13:33:39.000Z,25,"['B-cause', 'life', 'is', 'all', 'about', 'balance', 'and', 'this', 'could', 'be', 'your', 'fave', 'all-rounder.', '@balenciaga', '#BalenciagaPhantom', '📽', '@bifrost_____', 'for', '@bagaholicboy']","['balenciaga', 'bifrost', 'bagaholicboy']"
https://www.instagram.com/p/CZrEaZ5F68G/,In the mood for love. @gucci 📸 @reubenfoong & @fakedcandid for @bagaholicboy 📍@bymyoldschool #GucciLoveStory,42,,2022-02-07T10:36:13.000Z,26,"['In', 'the', 'mood', 'for', 'love.', '@gucci', '📸', '@reubenfoong', '&', '@fakedcandid', 'for', '@bagaholicboy', '📍@bymyoldschool', '#GucciLoveStory']","['gucci', 'reubenfoong', 'fakedcandid', 'bagaholicboy', 'bymyoldschool']"
