AgeRange.Low,AgeRange.High,Gender.Value,Gender.Confidence,site,AverageAge
13,21,Female,99.93869019,Milan Json\aliceng_.jpg.json,17
23,31,Female,99.91142273,Milan Json\aliceonginwonderland.jpg.json,27
20,28,Female,99.81435394,Milan Json\aliciaweitinggggglai.jpg.json,24
56,64,Male,99.85838318,Milan Json\aliciaysl.jpg.json,60
18,26,Female,99.99788666,Milan Json\aliciaysl.jpg.json,22
23,31,Female,99.99347687,Milan Json\alinglyn1225.jpg.json,27
23,33,Female,99.99037933,Milan Json\alison.jpg.json,28
13,21,Female,99.99462128,Milan Json\allya_marissa.jpg.json,17
21,29,Female,99.99466705,Milan Json\allydiaries.jpg.json,25
25,35,Female,99.99838257,Milan Json\allysonyeo.jpg.json,30
43,51,Female,99.99689484,Milan Json\alvina_14.jpg.json,47
18,26,Male,91.01529694,Milan Json\alvinnkt.jpg.json,22
37,45,Male,95.06513977,Milan Json\alyaaamalina.jpg.json,41
34,42,Female,99.98884583,Milan Json\alyaaamalina.jpg.json,38
23,31,Female,99.99764252,Milan Json\alyciayy.jpg.json,27
19,27,Female,99.99279022,Milan Json\alyssa_tran.jpg.json,23
21,29,Female,99.99739075,Milan Json\am0urandre.jpg.json,25
18,24,Female,99.9799881,Milan Json\amalia.jpg.json,21
24,34,Male,98.68469238,Milan Json\amandaong23.jpg.json,29
21,29,Female,99.98925781,Milan Json\amandaong23.jpg.json,25
14,22,Female,99.95246887,Milan Json\amanda_sws.jpg.json,18
21,29,Female,99.99887085,Milan Json\amandurrh.jpg.json,25
16,24,Female,99.97151947,Milan Json\amberccc_.jpg.json,20
16,22,Female,99.93140411,Milan Json\amberrr_qi.jpg.json,19
21,29,Female,99.92331696,Milan Json\amberxtzy.jpg.json,25
29,39,Female,99.99686432,Milan Json\ameedaayuni.jpg.json,34
16,24,Female,98.96911621,Milan Json\amelialeeyb.jpg.json,20
21,29,Female,99.8813858,Milan Json\ame_ong.jpg.json,25
13,21,Female,99.95774841,Milan Json\amychua33.jpg.json,17
23,33,Male,81.42163086,Milan Json\amyfunwork.jpg.json,28
19,27,Female,99.94688416,Milan Json\amynah_sailan.jpg.json,23
26,36,Female,99.99403381,Milan Json\amywong.jpg.json,31
22,30,Female,99.99848938,Milan Json\am_lequyen.jpg.json,26
16,24,Female,99.98880768,Milan Json\andeline.jpg.json,20
22,30,Female,99.95516968,Milan Json\andreaochon.jpg.json,26
21,29,Female,99.98597717,Milan Json\andreayee.jpg.json,25
40,48,Male,99.460289,Milan Json\andreyshpakov.jpg.json,44
20,28,Female,97.45265961,Milan Json\andreyshpakov.jpg.json,24
14,22,Male,99.9640274,Milan Json\andychanglash.jpg.json,18
13,21,Female,99.99175262,Milan Json\angela191437.jpg.json,17
16,24,Female,93.67938995,Milan Json\angelachloejimmy.jpg.json,20
31,41,Female,99.97543335,Milan Json\angelaquackquack.jpg.json,36
20,28,Female,99.99828339,Milan Json\angelbellatoh.jpg.json,24
13,21,Female,99.95282745,Milan Json\angelene_chin.jpg.json,17
23,33,Female,99.9986496,Milan Json\angellot_tan.jpg.json,28
34,42,Male,99.9823761,Milan Json\angeltagura.jpg.json,38
22,30,Female,99.93413544,Milan Json\angeltagura.jpg.json,26
18,26,Female,99.99928284,Milan Json\angelynnstyles.jpg.json,22
